# http://us.download.nvidia.com/XFree86/Linux-x86_64/460.80/README/supportedchips.html
GeForce 8800 GTX 0191 -
GeForce 8800 GTS 0193 -
GeForce 8800 Ultra 0194 -
Tesla C870 0197 -
Quadro FX 5600 019D -
Quadro FX 4600 019E -
GeForce 8600 GTS 0400 A
GeForce 8600 GT 0401 A
GeForce 8600 GT 0402 A
GeForce 8600 GS 0403 A
GeForce 8400 GS 0404 A
GeForce 9500M GS 0405 A
GeForce 8300 GS 0406 -
GeForce 8600M GT 0407 A
GeForce 9650M GS 0408 A
GeForce 8700M GT 0409 A
Quadro FX 370 040A A
Quadro NVS 320M 040B A
Quadro FX 570M 040C A
Quadro FX 1600M 040D A
Quadro FX 570 040E A
Quadro FX 1700 040F A
GeForce GT 330 0410 A
GeForce 8400 SE 0420 -
GeForce 8500 GT 0421 A
GeForce 8400 GS 0422 A
GeForce 8300 GS 0423 -
GeForce 8400 GS 0424 A
GeForce 8600M GS 0425 A
GeForce 8400M GT 0426 A
GeForce 8400M GS 0427 A
GeForce 8400M G 0428 A
Quadro NVS 140M 0429 A
Quadro NVS 130M 042A A
Quadro NVS 135M 042B A
GeForce 9400 GT 042C A
Quadro FX 360M 042D A
GeForce 9300M G 042E A
Quadro NVS 290 042F A
GeForce GTX 295 05E0 A
GeForce GTX 280 05E1 A
GeForce GTX 260 05E2 A
GeForce GTX 285 05E3 A
GeForce GTX 275 05E6 A
Tesla C1060 05E7 A
Tesla T10 Processor 05E7 10DE 0595 A
Tesla T10 Processor 05E7 10DE 068F A
Tesla M1060 05E7 10DE 0697 A
Tesla M1060 05E7 10DE 0714 A
Tesla M1060 05E7 10DE 0743 A
GeForce GTX 260 05EA A
GeForce GTX 295 05EB A
Quadroplex 2200 D2 05ED A
Quadroplex 2200 S4 05F8 A
Quadro CX 05F9 A
Quadro FX 5800 05FD A
Quadro FX 4800 05FE A
Quadro FX 3800 05FF A
GeForce 8800 GTS 512 0600 A
GeForce 9800 GT 0601 A
GeForce 8800 GT 0602 A
GeForce GT 230 0603 A
GeForce 9800 GX2 0604 A
GeForce 9800 GT 0605 A
GeForce 8800 GS 0606 A
GeForce GTS 240 0607 A
GeForce 9800M GTX 0608 A
GeForce 8800M GTS 0609 A
GeForce 8800 GS 0609 106B 00A7 A
GeForce GTX 280M 060A A
GeForce 9800M GT 060B A
GeForce 8800M GTX 060C A
GeForce 8800 GS 060D A
